user_id_encoded,paintingId_encoded,art_knowledge_enc,visit_rate_enc,artist_encoded,duration_seconds,rep_year,range_width,engagement_level,engagement_score,interest_binary,painting_genre,inv_Art student,inv_Art teacher,inv_No involvement,inv_Professional/Artist,style_Abstractionism,style_Art Nouveau,style_Baroque,style_Cubism,style_Expressionism,style_Impressionism,style_Modern Art,style_Neoclassicism,style_Pop Art,style_Post Impressionism,style_Realism,style_Renaissance,style_Rococo,style_Romanticism,style_Ukiyo-e,genre_Animal Painting,genre_Cityscape,genre_Genre Painting,genre_History Painting,genre_Illustration,genre_Interior Painting,genre_Landscape,genre_Mythological Painting,genre_Nature Morte,genre_Nude Painting,genre_Portrait,genre_Religious Painting,genre_Still Life
0,23,0.25,0.0,182,-0.3876638028763695,-0.0635480296322562,-0.4588973225739918,0,-1.2015932100981073,0,"['Landscape', 'Cityscape']",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,24,0.25,0.0,80,-0.11016087066003687,1.4562282754859956,-0.5018142634016354,2,0.07803194301117028,1,"['History Painting', 'Mythological Painting']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,127,0.25,0.0,168,-0.27443145063533325,1.2435282056951793,-0.5018142634016354,1,-0.46252823811607696,0,"['Landscape', 'Cityscape']",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,25,0.25,0.0,90,-0.05493918163608324,1.7238186858679903,-0.5018142634016354,2,0.8722001411217193,1,"['Landscape', 'Nature Morte']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0,26,0.25,0.0,90,-0.27638373257052357,1.7238186858679903,-0.5018142634016354,1,-0.47132050144659654,0,"['Portrait', 'Nude Painting']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,28,0.25,0.0,12,-0.3148715764357033,1.1611926948084117,-0.5018142634016354,0,-0.6644605117964577,0,"['Portrait', 'Nude Painting']",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,64,0.25,0.0,79,0.02705665964190844,1.257250790842974,-0.5018142634016354,2,0.3681393784287247,1,"['Portrait', 'History Painting']",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,63,0.25,0.0,79,-0.33104762675585137,1.2092217428256928,-0.5018142634016354,0,-0.7595753310277267,0,"['Landscape', 'Nature Morte']",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0,65,0.25,0.0,79,-0.17096050807024843,1.2778346685646658,-0.5018142634016354,1,-0.0871750660658212,0,"['Portrait', 'Nude Painting']",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,7,0.25,0.0,195,-0.23315463257702448,1.051412013626055,-0.5018142634016354,1,-0.2939938329739333,0,"['Landscape', 'Nature Morte']",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0,77,0.25,0.0,86,-0.1631513803294873,1.2435282056951793,-0.5018142634016354,1,-0.06421515771533548,0,"['Landscape', 'Nature Morte']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0,80,0.25,0.0,210,-0.272479168700143,1.0651345987738496,-0.5018142634016354,1,-0.4538194280355379,0,"['Landscape', 'Nature Morte']",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0,87,0.25,0.0,67,-0.28391396289197174,0.8592958215569306,-0.07264485512519941,0,-0.5060454142599864,0,"['Portrait', 'Nude Painting']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,85,0.25,0.0,67,-0.3555905996553863,0.9347700398698009,-0.5018142634016354,0,-0.9258243781245149,0,['Portrait'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,86,0.25,0.0,67,-0.28168278353746856,0.8798796992786224,-0.5018142634016354,0,-0.4956188422925085,0,['Portrait'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,84,0.25,0.0,67,-0.04601446421807057,0.8592958215569306,-0.5018142634016354,2,0.2250995143376188,1,"['Portrait', 'Nude Painting']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
